iter	Logloss
0	0.6774027396
1	0.6653652019
2	0.6553993817
3	0.6468742836
4	0.6365985198
5	0.6290360869
6	0.6208107367
7	0.6143691647
8	0.6107451113
9	0.6055409792
10	0.6005446141
11	0.5961683804
12	0.5930764753
13	0.589666011
14	0.586367657
15	0.5828944081
16	0.5807354226
17	0.5783651281
18	0.5763864213
19	0.5738839295
20	0.5721814979
21	0.5692972457
22	0.5674405568
23	0.5656631777
24	0.564731768
25	0.5636929067
26	0.5624301266
27	0.5621110342
28	0.5613064046
29	0.5605914207
30	0.5597543995
31	0.5582896065
32	0.557002651
33	0.5563815608
34	0.5555274954
35	0.5552708253
36	0.5546821539
37	0.5540090039
38	0.5528543632
39	0.5523262749
40	0.5514942162
41	0.5505617159
42	0.5500651188
43	0.5495850217
44	0.5492710317
45	0.5486263687
46	0.5481342683
47	0.5477695216
48	0.5473353753
49	0.5465906225
50	0.5458837656
51	0.5454274268
52	0.5448081788
53	0.5443356242
54	0.5440062368
55	0.5436351022
56	0.5431495631
57	0.5426755944
58	0.5420015901
59	0.5414865002
60	0.5413910017
61	0.5409674437
62	0.5402051065
63	0.5397468195
64	0.5392943001
65	0.538837759
66	0.5383892044
67	0.5378988671
68	0.5373842296
69	0.5370441485
70	0.5365434129
71	0.5358373011
72	0.5354556672
73	0.5351137068
74	0.534496098
75	0.5337677438
76	0.5334754167
77	0.5331992429
78	0.53276311
79	0.5323308859
80	0.531942734
81	0.5314457577
82	0.5310400828
83	0.5307438191
84	0.5303740232
85	0.5299085798
86	0.5294837756
87	0.5290172879
88	0.5287209981
89	0.5283463236
90	0.5280912213
91	0.5277668796
92	0.5273878868
93	0.5269827318
94	0.52661037
95	0.5263676731
96	0.5258796357
97	0.5256249476
98	0.5253099703
99	0.5248589981
100	0.5245615606
101	0.5243639164
102	0.5241839014
103	0.523947964
104	0.523606617
105	0.5233548266
106	0.5230143561
107	0.5226144413
108	0.5221845269
109	0.5218905407
110	0.5217448399
111	0.5214887296
112	0.5210048915
113	0.5207021883
114	0.5204903795
115	0.5202344723
116	0.5200015218
117	0.5197311999
