iter	Passed	Remaining
0	17	17263
1	30	15162
2	44	14815
3	55	13930
4	67	13496
5	81	13497
6	102	14582
7	118	14641
8	132	14619
9	140	13927
10	152	13692
11	167	13773
12	189	14398
13	200	14107
14	214	14088
15	228	14081
16	248	14378
17	258	14110
18	269	13909
19	277	13615
20	285	13312
21	295	13150
22	303	12897
23	312	12691
24	323	12613
25	330	12391
26	340	12285
27	345	12003
28	359	12024
29	368	11925
30	377	11784
31	384	11642
32	396	11631
33	407	11572
34	413	11403
35	422	11309
36	430	11208
37	439	11125
38	446	11011
39	456	10959
40	466	10913
41	475	10838
42	482	10745
43	490	10647
44	497	10549
45	503	10449
46	510	10342
47	519	10302
48	526	10226
49	534	10149
50	542	10091
51	549	10022
52	557	9967
53	571	10007
54	580	9965
55	589	9936
56	596	9867
57	603	9803
58	614	9804
59	621	9743
60	626	9644
61	636	9635
62	646	9610
63	655	9580
64	666	9589
65	673	9536
66	682	9500
67	695	9528
68	704	9499
69	711	9455
70	720	9423
71	731	9426
72	738	9375
73	748	9369
74	754	9300
75	763	9281
76	771	9245
77	780	9223
78	788	9196
79	798	9177
80	810	9200
81	817	9149
82	829	9164
83	841	9172
84	847	9126
85	860	9149
86	867	9106
87	875	9072
88	884	9053
89	896	9060
90	911	9102
91	930	9184
92	959	9352
93	971	9361
94	987	9403
95	995	9378
96	1007	9377
97	1016	9353
98	1023	9312
99	1034	9313
100	1041	9272
101	1054	9281
102	1070	9326
103	1082	9328
104	1091	9303
105	1100	9285
106	1112	9285
107	1119	9249
108	1129	9232
109	1137	9201
110	1150	9214
111	1162	9219
112	1172	9205
113	1180	9176
114	1188	9144
115	1196	9119
116	1204	9087
117	1212	9061
118	1219	9028
119	1228	9008
120	1235	8976
121	1242	8940
122	1250	8915
123	1257	8884
124	1267	8869
125	1274	8838
126	1291	8877
127	1303	8878
128	1312	8859
129	1319	8828
130	1328	8814
131	1338	8802
132	1346	8780
133	1356	8767
134	1364	8739
135	1374	8735
136	1382	8708
137	1389	8677
138	1399	8667
139	1406	8639
